geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k
MT,2021,15.4,16.9,3.8,31420.0,5.4,18948.5,36200.0,2.7,7.8,15.7,31.42,18.9485,36.2
MT,2022,21.4,16.7,3.5,31390.0,4.9,20328.8,37400.0,2.9,6.1,15.4,31.39,20.328799999999998,37.4
MT,2023,16.6,16.6,3.5,33380.0,4.1,23054.8,41900.0,6.0,5.7,15.9,33.38,23.0548,41.9
MT,2024,17.3,16.9,3.2,34480.0,4.3,24129.1,43900.0,5.9,5.9,18.3,34.48,24.129099999999998,43.9
NL,2015,12.9,11.6,7.9,45530.0,3.2,22810.0,36600.0,14.9,5.7,22.9,45.53,22.81,36.6
NL,2016,12.6,12.7,7.0,46380.0,2.6,22703.8,36900.0,10.7,5.0,22.5,46.38,22.703799999999998,36.9
NL,2017,11.5,13.2,5.9,47390.0,2.6,23638.5,38500.0,9.4,4.6,20.7,47.39,23.6385,38.5
NL,2018,10.0,13.3,4.9,48180.0,2.6,24461.9,39900.0,9.4,3.8,21.5,48.18,24.4619,39.9
NL,2019,10.1,13.2,4.4,48970.0,2.8,24584.2,40500.0,9.9,4.0,21.9,48.97,24.5842,40.5
NL,2020,7.5,13.4,4.9,46810.0,2.2,24051.6,40000.0,8.3,3.2,19.1,46.81,24.051599999999997,40.0
NL,2021,5.6,14.4,4.2,49490.0,2.1,26278.2,43700.0,8.3,2.6,15.1,49.49,26.278200000000002,43.7
NL,2022,6.9,14.5,3.5,51480.0,2.5,29426.6,48500.0,10.0,2.9,14.6,51.48,29.426599999999997,48.5
NL,2023,7.3,13.0,3.6,50660.0,2.7,31056.8,50200.0,9.3,2.6,15.9,50.66,31.0568,50.2
NL,2024,7.3,12.1,3.7,50870.0,3.1,32491.2,53400.0,6.9,3.9,16.9,50.87,32.4912,53.4
PL,2015,29.4,17.6,7.7,11870.0,7.8,13384.2,19400.0,8.7,11.0,42.3,11.87,13.3842,19.4
PL,2016,24.799999999999997,17.3,6.3,12240.0,5.4,13575.4,19700.0,7.7,11.0,37.9,12.24,13.5754,19.7
PL,2017,22.1,15.0,5.0,12870.0,5.3,14367.3,20700.0,6.7,10.3,34.8,12.87,14.367299999999998,20.7
PL,2018,18.6,14.8,3.9,13680.0,4.5,15060.5,21900.0,6.2,7.7,31.7,13.68,15.0605,21.9
