geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,debt_to_income,arop_before_transfers,transfer_effect,pct_below_peak,ltu_rate,cum_gdp_shortfall_2008base,cum_gdp_shortfall_ownpeak,cum_wage_shortfall_2008base,cum_wage_shortfall_ownpeak,cum_excess_unemployment,cum_excess_ltu,cum_threshold_shortfall,gdp_years_below_2008,gdp_years_below_peak,gdp_longest_streak_2008,gdp_longest_streak_peak,gdp_cum_negative_years,wage_years_below_2008,wage_years_below_peak,wage_longest_streak_2008,wage_longest_streak_peak,wage_cum_negative_years,slope5_real_wage,slope5_real_gdp,slope5_unemployment,years_worst_quintile_unemp,years_worst_quintile_wage,share_worst_unemployment,share_worst_ltu,share_worst_real_wage,share_worst_real_gdp,share_worst_threshold,share_worst_composite
CY,2023,24.200000000000003,14.9,5.8,29320.0,2.4,25642.3,37400.0,2.6,13.9,37.5,29.32,25.6423,37.4,101.27,34.6,19.700000000000003,0.0,1.8,100.67621320604616,103.14544097836917,38.840101872549624,97.01821287839496,64.1,42.5,0.0,0.0,0.0,10.0,10.0,7.0,0.0,0.0,7.0,13.0,6.0,1.8552695780408697,1127.9999999998638,-0.4099999999999616,7.0,4.0,0.4666666666666667,0.0,0.25,0.0,0.0,0.24
CY,2024,20.8,14.6,4.8,29950.0,2.5,26819.7,39500.0,2.4,12.5,34.8,29.95,26.8197,39.5,94.68,34.2,19.6,0.0,1.3,100.67621320604616,103.14544097836917,38.840101872549624,97.01821287839496,64.1,43.2,0.0,0.0,0.0,10.0,10.0,7.0,0.0,0.0,7.0,13.0,6.0,2.0461965589435143,1292.9999999998774,-0.6999999999999021,7.0,4.0,0.4375,0.0,0.23529411764705882,0.0,0.0,0.16
CZ,2015,26.6,9.7,5.1,19270.0,4.5,14337.0,24600.0,10.4,4.5,36.0,19.27,14.337,24.6,55.44,37.0,27.3,0.0,2.4,13.475177304964546,13.475177304964546,26.13502226745682,40.23356436099188,1.1999999999999993,4.800000000000001,0.0,0.0,0.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,-2.479614621291418,270.0000000000258,-0.4100000000000363,0.0,1.0,0.0,0.0,0.125,0.0,0.0,0.08333333333333333
CZ,2016,23.200000000000003,9.7,4.0,19760.0,3.5,14877.5,25400.0,9.5,4.4,32.1,19.76,14.8775,25.4,57.11,36.5,26.8,0.0,1.7,13.475177304964546,13.475177304964546,26.177960648420935,43.80113826533976,1.1999999999999993,4.800000000000001,0.0,0.0,0.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,0.1550845749583348,488.0000000001743,-0.7900000000002695,0.0,1.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.041666666666666664
CZ,2017,22.0,9.1,2.9,20760.0,3.4,15970.1,27200.0,8.7,3.2,28.1,20.76,15.9701,27.2,56.96,35.2,26.1,0.0,1.0,13.475177304964546,13.475177304964546,26.177960648420935,43.80113826533976,1.1999999999999993,4.800000000000001,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,5.0,5.0,4.0,3.426127094770882,696.99999999989,-1.0299999999998517,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.125
CZ,2018,16.2,9.6,2.2,21320.0,2.4,16924.2,28500.0,7.8,3.0,23.7,21.32,16.9242,28.5,56.67,34.0,24.4,0.0,0.7,13.475177304964546,13.475177304964546,26.177960648420935,43.80113826533976,1.1999999999999993,4.800000000000001,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,5.0,5.0,4.0,6.439834780381449,738.9999999998523,-0.9999999999998052,0.0,1.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.04
CZ,2019,13.1,10.1,2.0,22050.0,2.1,17698.6,30000.0,6.9,2.8,21.8,22.05,17.6986,30.0,56.54,34.5,24.4,0.0,0.6,13.475177304964546,13.475177304964546,26.177960648420935,43.80113826533976,1.1999999999999993,4.800000000000001,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,5.0,5.0,4.0,7.359120040338847,711.9999999999895,-0.7999999999999986,0.0,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.125
CZ,2020,12.1,9.5,2.6,20980.0,1.9,17275.5,29200.0,6.5,3.0,19.6,20.98,17.2755,29.2,57.36,34.1,24.6,4.852607709750567,0.6,13.475177304964546,18.32778501471512,26.177960648420935,46.66454440746504,1.1999999999999993,4.800000000000001,0.0,0.0,1.0,5.0,5.0,3.0,0.0,1.0,5.0,5.0,5.0,5.614253885597799,372.99999999995856,-0.3699999999999525,0.0,1.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.125
CZ,2021,11.4,8.6,2.8,21830.0,1.8,18132.8,30500.0,6.2,2.4,18.1,21.83,18.1328,30.5,57.7,35.6,27.0,0.9977324263038548,0.8,13.475177304964546,19.325517441018977,26.177960648420935,46.66454440746504,1.1999999999999993,4.800000000000001,0.0,0.0,2.0,5.0,5.0,3.0,0.0,0.0,5.0,5.0,5.0,4.264468208480747,180.00000000000946,0.0200000000000361,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
CZ,2022,12.3,10.2,2.2,21910.0,2.1,19418.0,32400.0,6.9,2.7,17.5,21.91,19.418,32.4,53.69,34.6,24.4,0.6349206349206349,0.6,13.475177304964546,19.960438075939607,26.177960648420935,50.239527591121785,1.1999999999999993,4.800000000000001,0.0,0.0,3.0,5.0,5.0,3.0,0.0,1.0,5.0,5.0,6.0,1.7519975767765037,96.00000000001052,0.0800000000000318,0.0,1.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.12
