geo,time,nominal_comp,wage_level_vs_eu
SI,2016,25497.8,72.94401707323352
SI,2017,26281.0,73.53262116472584
SI,2018,27327.0,74.59606423663715
SI,2019,28759.5,76.6879099781345
SI,2020,29855.2,79.69334749857191
SI,2021,32239.2,82.34032119651833
SI,2022,33825.5,82.40514716988486
SI,2023,37076.7,85.24731509135931
SI,2024,39377.3,86.00179965317365
SK,2000,4988.0,20.375484060717962
SK,2001,5178.3,20.447868458877604
SK,2002,5711.3,21.926480468375082
SK,2003,6334.2,23.749835961080596
SK,2004,7050.8,25.850494769993364
SK,2005,7927.3,28.32979536991373
SK,2006,8888.0,30.999965121551394
SK,2007,10678.8,36.19355560300562
SK,2008,12305.6,40.1293991808197
SK,2009,13098.7,42.55200956378237
SK,2010,13825.9,43.42632610498279
SK,2011,14114.7,43.27644779121391
SK,2012,14468.5,43.668207938960784
SK,2013,14851.9,44.18419925268344
SK,2014,15134.4,44.55474400982098
SK,2015,15669.5,45.47472836181278
SK,2016,16019.8,45.82938781815633
SK,2017,16857.7,47.16680749623677
SK,2018,17854.6,48.73871586780333
SK,2019,19052.5,50.80395712228681
SK,2020,19779.9,52.799058260772085
SK,2021,21153.3,54.02644967512566
SK,2022,22403.8,54.57978259492591
SK,2023,24723.4,56.84441899979537
SK,2024,26633.1,58.16789191597542
