freq,unit,na_item,geo,time,value,geo_label
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2001,71.0,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2002,71.4,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2003,74.5,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2004,77.2,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2005,76.7,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2006,73.5,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2007,73.4,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2008,73.6,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2009,73.3,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2010,77.1,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2011,75.4,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2012,76.7,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2013,77.4,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2014,79.7,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2015,83.7,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2016,80.4,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2017,85.0,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2018,82.7,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2019,78.6,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2020,78.1,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2021,83.7,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2022,79.3,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2023,82.0,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2024,82.2,Malta
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2000,141.4,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2001,139.7,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2002,139.1,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2003,136.7,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2004,137.6,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2005,140.6,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2006,140.8,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2007,140.6,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2008,141.0,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2009,136.4,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2010,133.5,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2011,131.6,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2012,131.5,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2013,132.7,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2014,129.9,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2015,129.4,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2016,126.6,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2017,125.8,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2018,125.0,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2019,121.5,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2020,122.0,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2021,124.4,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2022,126.6,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2023,123.9,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,NL,2024,125.3,Netherlands
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2000,45.7,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2001,46.4,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2002,48.1,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2003,49.2,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2004,50.8,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2005,50.0,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2006,49.3,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2007,50.0,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2008,50.7,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2009,52.7,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2010,56.5,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2011,58.4,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2012,59.2,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2013,58.5,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2014,58.4,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2015,59.3,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2016,58.9,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2017,60.0,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2018,62.7,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2019,63.1,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2020,61.9,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2021,61.9,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2022,63.7,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2023,63.5,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PL,2024,66.3,Poland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2000,67.6,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2001,66.5,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2002,66.0,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2003,67.0,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2004,66.7,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2005,68.6,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2006,69.8,Portugal
